,DATA COLLECTION WITH 5 inputs and 1 output,,,,
domain: Core companies,,,,,
,,,,,
,,,,,
input 1,input 2,input 3,input 4,input 5,output
Workers,Machines,Working Hours,Raw Materials,Electricity,Production Status
20 workers,5 machines,8 hours,100 kg steel,50 units,High
15 workers,4 machines,6 hours,40 kg iron,40 units,Low
10 workers,2 machines,4 hours,40 kg plastic,20 units,Low
25 workers,6 machines,9 hours,120 kg copper,60 units,High
12 workers,3 machines,5 hours,60 kg aluminium,30 units,Low
,,,,,
,,,,,output type: STRING/true or false
